"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"LOC408186",0.851838164702964,4.64109700361516,9.53895468480324,4.38606039358913e-18,3.88213533579811e-17,30.2637733506525,"up"
"MPIG6B",-0.417416817097267,5.14806230778623,-9.53400239549483,4.38838879901081e-18,3.88213533579811e-17,30.2620189042393,"down"
"NAA10",-0.39722969732016,6.45590216730035,-9.53050122413496,4.49236899046528e-18,3.97023539030269e-17,30.2388546478391,"down"
"PTPRS",-0.510008017300143,7.28430628173972,-9.5298236578981,4.51277291067413e-18,3.98437303568406e-17,30.2343721503698,"down"
"STC1",-0.770092292377351,5.10436951102818,-9.52721355535219,4.63744605841847e-18,4.09045364040599e-17,30.2077859176761,"down"
"PLOD3",-0.42537039481177,7.10210584556115,-9.52488755028242,4.66422340223707e-18,4.11006274655218e-17,30.2017206183279,"down"
"ROBO2",1.06275325441666,7.16792867451572,9.53578657763692,4.68712789700335e-18,4.12622427622272e-17,30.1998118355216,"up"
"MIR99AHG",0.580617004759155,5.29001532239349,9.522339501896,4.74436978916332e-18,4.17255323578069e-17,30.1848682572042,"up"
"SLMAP",0.43975370656529,7.49642206423247,9.52102774962745,4.78616204584421e-18,4.20521778974514e-17,30.1761932286767,"up"
"PGAM5",-0.424722179362925,6.21028924659682,-9.52005833539857,4.81728245948117e-18,4.22845152584168e-17,30.1697824855784,"down"
"CEBPB",-0.518605370131414,6.83812341883708,-9.51653695535408,4.93202896077686e-18,4.32497321381024e-17,30.1464976980647,"down"
"SIGLEC14",-0.52151434052074,5.9033849506579,-9.5105371442716,5.13382965134198e-18,4.49757305017276e-17,30.1068322018133,"down"
"KRT15",1.42842751556879,5.89616260244176,9.52618929377883,5.23467995728076e-18,4.58148513976528e-17,30.0922844480026,"up"
"QDPR",-0.450846305505017,6.37604968614377,-9.5036278614108,5.37640789150512e-18,4.70097715155685e-17,30.0611660830988,"down"
"AKAP9",0.598587170946951,7.40891275831553,9.50181933935444,5.44176339072682e-18,4.75352490971606e-17,30.0492149881796,"up"
"SUSD4",0.57745891290294,5.66765088994803,9.50097764312108,5.47244894431369e-18,4.77571533837259e-17,30.0436531831175,"up"
"SPAG17",1.67251259434596,4.88996013142974,9.51900498299166,5.54086903163554e-18,4.83076151543076e-17,30.0363981689412,"up"
