"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SRR",0.0547977864354765,6.1781920946511,1.29006058612541,0.198473524299731,0.235146000942716,-6.5864930068307
"JUN",-0.103422894615578,8.49595657746782,-1.28929785545246,0.198739990300311,0.235430850668909,-6.58746910053153
"HLF",0.10882625157004,7.23866890446617,1.28918560393704,0.19878136307027,0.235449011334771,-6.58761171193215
"ODC1",0.0895954941372743,8.66311137479215,1.28766063864835,0.199306441993801,0.236040023849352,-6.58956535657958
"BANK1",0.120682369707462,5.68000200123766,1.28598893072122,0.199898657459152,0.236710381412992,-6.5916971162433
"WBP4",-0.0726319732080611,5.92155797746894,-1.2837251967379,0.200677826696583,0.237601916076978,-6.59459122143283
"HS3ST3A1",0.0624196327263062,5.54075684457537,1.2831057717489,0.20089430824571,0.237827084044712,-6.59538089629508
"IGFBP6",-0.0978625537927735,7.25809844481484,-1.28251589236807,0.201100910037144,0.238040498513462,-6.59613241729751
"SNORD14E",0.137445805878538,4.89362984947372,1.28155912708338,0.201452204819448,0.238425105874149,-6.5973428986768
"BCL9",0.0578256942615987,6.38821299186265,1.28029240562677,0.201879706045221,0.238899793501943,-6.59896279968658
"ABCA6",0.134037725687319,7.48841323425946,1.27922313511907,0.202270657956841,0.239331110926292,-6.60031446849725
"AFDN",0.0750584982586311,8.3396664489826,1.27816717425593,0.202626430651988,0.239720696090633,-6.60166345759316
"ZSWIM6",-0.048975428011877,8.4510614431867,-1.27771693661627,0.20278488671739,0.23987677100771,-6.6022350344786
"CLOCK",-0.0564209664614133,6.81424622672787,-1.27670357683759,0.2031418598588,0.240267602692753,-6.60352077009518
"SLC2A1",0.0844691912841791,7.05302954816432,1.27659211226646,0.203181153263709,0.240282643120627,-6.60366213336782
"IFT140",-0.0612421314201974,6.03872132601354,-1.27563619170593,0.203518362585409,0.240649949795277,-6.60487396645911
"TMED6",-0.0899898357227364,4.62802161230569,-1.2754231644546,0.203593565693803,0.240707392106404,-6.60514390216654
"IL1R1",0.0791683567917509,8.98926571768067,1.27329904851611,0.204344538119771,0.241563672743312,-6.60783303078271
"THAP10",-0.0536638801265497,4.82227278860247,-1.27198376101919,0.204810569018763,0.242082932997599,-6.60949597151018
"HERC5",-0.095218154519686,5.65106055184882,-1.26999956338563,0.205515079551854,0.242883899899125,-6.61200142561684
"TPPP",-0.0654969737967894,6.14152959832327,-1.26845074624998,0.206066235152348,0.243481912551003,-6.61395444720779
"SNAI2",0.080055084285771,6.65725906619361,1.26840348464428,0.206083070457426,0.243481912551003,-6.61401400607989
"CYBRD1",-0.0824823936376262,9.88342951774059,-1.2683506904309,0.206101877751668,0.243481912551003,-6.61408053453706
"EIF5AL1",-0.0564588717135042,9.8470794191116,-1.26605754135851,0.206919996392303,0.244416473397284,-6.61696760799774
"ATF3",-0.115196048218741,5.72911908207858,-1.26554452976121,0.207111934625134,0.244611234610821,-6.61760819748855
"ZNF485",-0.0618529421858618,5.39823022069037,-1.26513384563129,0.207250209975692,0.244742574241148,-6.61812908719428
"AMTN",0.0904313662179517,3.55079434925571,1.26458794623207,0.207445545485704,0.24494125332849,-6.618815123015
"PLIN1",-0.0824299427733663,5.0266363469646,-1.26179883778857,0.208445653317377,0.246067953010203,-6.62231566658548
"PYROXD1",0.0858204838032623,7.14076331531074,1.26170136343444,0.208480668853748,0.246067953010203,-6.62243786669607
"GSTM2",-0.0718337757638388,6.26099070812502,-1.2616992719992,0.208481420203313,0.246067953010203,-6.62244048855173
"CYTH2",-0.0572342777420909,6.11347157517896,-1.26117854203623,0.208668554335149,0.246256676640658,-6.62309315054077
"ZRSR2",0.0645494196871264,6.72514843568378,1.26042172665523,0.208940748776859,0.246545720398275,-6.62404123953148
"RHOT1",-0.0514733553200504,7.84645048850021,-1.25974188535568,0.209185479755523,0.246802286633131,-6.6248924226231
"SCARNA10",0.116511174608235,7.5963236000515,1.25895945331074,0.209476991493058,0.247113971827863,-6.62586619260076
"NR1H3",0.0608510928000525,6.12370045571207,1.25819032035173,0.209744799270694,0.247397616465276,-6.62683333802262
"MIR492",-0.069532404810067,4.81561390170804,-1.25761859182635,0.209951174909477,0.247608736284449,-6.6275479424658
"GLP2R",-0.0911602797285864,4.88575053108421,-1.25675372636395,0.210263644908119,0.247944908518887,-6.62862833140064
"DLAT",-0.0484355626604023,7.17625889053583,-1.25662583517072,0.210309879881362,0.247967087116249,-6.62878803081413
"MDM4",0.0599931737698469,7.14398494495964,1.25556223708724,0.210694676891822,0.24838839141726,-6.63011553969598
"NTM",0.160759104572406,6.33269072424785,1.25499167860928,0.210924587213255,0.248627013428297,-6.63081409617093
"ZNF320",0.080128366682378,5.47046930722669,1.2529590147322,0.211638655437138,0.249436199166623,-6.63336002965899
"SCARNA5",0.0876953151201629,8.04363106848465,1.25160556817029,0.212130656169732,0.249983480504502,-6.63504425862045
